date,open,high,low,close,volume
10/18/2022,1303.98,1307.99,1302.41,1306.27,4520121.449
10/18/2022,1306.17,1307.25,1301.76,1303.76,4027210.073
10/18/2022,1303.75,1306.96,1303.62,1304.98,1610130.312
10/19/2022,1304.97,1305.6,1301.94,1302.3,3712638.068
10/19/2022,1302.28,1304.83,1300.1,1303.54,2155115.253
10/19/2022,1303.52,1306.48,1301.17,1305.51,4022387.804
10/19/2022,1305.53,1305.73,1298.2,1301.38,5927651.757
10/19/2022,1301.38,1303.65,1292.25,1296.15,6499190.121
10/19/2022,1296.15,1298.55,1293.3,1294.47,5326469.494
10/19/2022,1294.47,1299.45,1292.58,1296.94,4789982.694
10/19/2022,1296.82,1301.19,1294.81,1299.89,3865660.644
10/19/2022,1299.7,1301.32,1293.91,1296.08,3846555.971
10/19/2022,1296.09,1300.88,1295.84,1299.4,3811511.916
10/19/2022,1299.4,1305.2,1298.99,1302.55,4986448.664
10/19/2022,1302.55,1307.71,1302.39,1306.49,4538824.998
10/19/2022,1306.47,1308.26,1302.94,1303.05,3964447.624
10/19/2022,1303.15,1303.83,1299.64,1301.06,4871472.585
10/19/2022,1301.11,1301.84,1293.72,1296.14,5807737.335
10/19/2022,1296.13,1301,1293.86,1300.46,6018241.877
10/19/2022,1300.47,1300.96,1295.34,1298.29,6087099.068
10/19/2022,1298.28,1301.05,1295.02,1299.59,7958496.425
10/19/2022,1299.58,1299.91,1295.87,1297.81,5807698.507
10/19/2022,1297.92,1305.99,1291.06,1293.35,12461321.83
10/19/2022,1293.35,1302.46,1289.52,1301.51,10628214.52
10/19/2022,1301.51,1302.63,1295.57,1296.49,8733324.452
10/19/2022,1296.38,1303.19,1295.75,1298.68,6819722.557
10/19/2022,1298.74,1308.6,1297.13,1304.72,7121992.605
10/19/2022,1304.73,1305.8,1299.09,1299.84,5797167.789
10/19/2022,1299.97,1302.3,1296.41,1298.28,6437115.254
10/19/2022,1298.22,1299.07,1292.65,1295.59,8713426.03
10/19/2022,1295.47,1296.65,1293.27,1295.66,5661465.661
10/19/2022,1295.64,1298.74,1294.77,1297.05,4603006.167
10/19/2022,1297.04,1297.29,1293.15,1296.28,3651779.136
10/19/2022,1296.35,1298.39,1292.16,1294.29,5382777.821
10/19/2022,1294.31,1297.06,1292.35,1296.99,4539789.697
10/19/2022,1296.94,1299.19,1287.31,1292.18,7060213.7
10/19/2022,1292.19,1295.14,1291.77,1294.46,2862212.405
